step,t,phase,move,move_name,trunk_z,trunk_roll,trunk_pitch,trunk_vz,trunk_roll_rate
0,0.0000,-0.133577,0,squat_bounce,0.123503,-0.000213,-0.000502,-0.149593,-0.020455
1,0.0200,0.117666,0,squat_bounce,0.118021,-0.000959,-0.002275,-0.348729,-0.047707
2,0.0400,0.368910,0,squat_bounce,0.113811,-0.002344,-0.002338,-0.075102,-0.080257
3,0.0600,0.620154,0,squat_bounce,0.113212,-0.003382,-0.002042,-0.022268,-0.027018
4,0.0800,0.871397,0,squat_bounce,0.112715,-0.003676,-0.003381,-0.027402,-0.007614
5,0.1000,1.122641,0,squat_bounce,0.112108,-0.003726,-0.004125,-0.031610,0.001668
6,0.1200,1.373885,0,squat_bounce,0.111485,-0.003688,-0.003866,-0.029844,0.000214
7,0.1400,1.625128,0,squat_bounce,0.110950,-0.003784,-0.003257,-0.024644,-0.008794
8,0.1600,1.876372,0,squat_bounce,0.110524,-0.004018,-0.002913,-0.019375,-0.012512
9,0.1800,2.127616,0,squat_bounce,0.110172,-0.004248,-0.002958,-0.016441,-0.009772
10,0.2000,2.378859,0,squat_bounce,0.109874,-0.004366,-0.003185,-0.014245,-0.003041
11,0.2200,2.630103,0,squat_bounce,0.109620,-0.004217,-0.003311,-0.013000,0.010192
12,0.2400,2.881346,0,squat_bounce,0.109337,-0.004024,-0.003131,-0.014723,0.009259
13,0.2600,3.132590,0,squat_bounce,0.109026,-0.003833,-0.002783,-0.016082,0.009843
14,0.2800,-2.899352,0,squat_bounce,0.108685,-0.003626,-0.002615,-0.017714,0.010550
15,0.3000,-2.648108,0,squat_bounce,0.108308,-0.003397,-0.002702,-0.019633,0.012169
16,0.3200,-2.396864,0,squat_bounce,0.107893,-0.003127,-0.002983,-0.021426,0.014483
17,0.3400,-2.145621,0,squat_bounce,0.107451,-0.002814,-0.003366,-0.022466,0.016411
18,0.3600,-1.894377,0,squat_bounce,0.107004,-0.002476,-0.003772,-0.022198,0.017144
19,0.3800,-1.643133,0,squat_bounce,0.106582,-0.002143,-0.004157,-0.020321,0.016333
20,0.4000,-1.391890,0,squat_bounce,0.106247,-0.001674,-0.004461,-0.015107,0.024170
21,0.4200,-1.140646,0,squat_bounce,0.105996,-0.001287,-0.004737,-0.010939,0.016060
22,0.4400,-0.889402,0,squat_bounce,0.105838,-0.001071,-0.004971,-0.006038,0.008235
23,0.4600,-0.638159,0,squat_bounce,0.105743,-0.001193,-0.005161,-0.002716,-0.011477
24,0.4800,-0.386915,0,squat_bounce,0.105764,-0.001249,-0.005358,0.002785,0.001458
25,0.5000,-0.135672,0,squat_bounce,0.105852,-0.001362,-0.005857,0.005603,-0.012165
26,0.5200,0.115572,0,squat_bounce,0.106025,-0.001538,-0.006792,0.010464,-0.010245
27,0.5400,0.366816,0,squat_bounce,0.106266,-0.001776,-0.007718,0.012928,-0.008102
28,0.5600,0.618059,0,squat_bounce,0.106542,-0.001853,-0.008408,0.014524,0.001686
29,0.5800,0.869303,0,squat_bounce,0.106852,-0.001658,-0.008974,0.015795,0.013515
30,0.6000,1.120547,0,squat_bounce,0.107160,-0.001449,-0.009328,0.015407,0.013007
31,0.6200,1.371790,0,squat_bounce,0.107449,-0.001257,-0.009689,0.014529,0.011190
32,0.6400,1.623034,0,squat_bounce,0.107741,-0.001195,-0.009780,0.014178,0.001648
33,0.6600,1.874278,0,squat_bounce,0.107984,-0.001206,-0.009406,0.011141,0.001199
34,0.6800,2.125521,0,squat_bounce,0.108169,-0.001055,-0.009121,0.008209,0.010532
35,0.7000,2.376765,0,squat_bounce,0.108299,-0.000839,-0.008946,0.005132,0.009144
36,0.7200,2.628008,0,squat_bounce,0.108342,-0.000905,-0.008623,0.000722,-0.010444
37,0.7400,2.879252,0,squat_bounce,0.108340,-0.000980,-0.008081,-0.000361,0.002705
38,0.7600,3.130496,0,squat_bounce,0.108307,-0.000811,-0.007247,-0.002510,0.007065
39,0.7800,-2.901446,0,squat_bounce,0.108210,-0.000681,-0.005892,-0.006204,0.006351
40,0.8000,-2.650202,0,squat_bounce,0.108042,-0.000561,-0.004469,-0.009426,0.003508
41,0.8200,-2.398959,0,squat_bounce,0.107781,-0.000622,-0.003042,-0.014590,-0.003564
42,0.8400,-2.147715,0,squat_bounce,0.107458,-0.000626,-0.001650,-0.016170,0.003517
43,0.8600,-1.896471,0,squat_bounce,0.107121,-0.000478,-0.000641,-0.017720,-0.000069
44,0.8800,-1.645228,0,squat_bounce,0.106752,-0.000581,0.000278,-0.018509,-0.006362
45,0.9000,-1.393984,0,squat_bounce,0.106409,-0.000760,0.001095,-0.014823,-0.000936
46,0.9200,-1.142741,0,squat_bounce,0.106160,-0.000677,0.001227,-0.011074,0.005372
47,0.9400,-0.891497,0,squat_bounce,0.105976,-0.000763,0.000874,-0.007953,-0.010105
48,0.9600,-0.640253,0,squat_bounce,0.105889,-0.000946,0.000155,-0.002344,-0.012749
49,0.9800,-0.389010,0,squat_bounce,0.105876,-0.001199,-0.000688,-0.001332,-0.020336
50,1.0000,-0.137766,0,squat_bounce,0.105936,-0.001462,-0.002047,0.006000,-0.008214
51,1.0200,0.113478,0,squat_bounce,0.106083,-0.001417,-0.003670,0.008534,0.009801
52,1.0400,0.364721,0,squat_bounce,0.106307,-0.001401,-0.005263,0.012047,-0.002440
53,1.0600,0.615965,0,squat_bounce,0.106581,-0.001381,-0.006869,0.014172,0.002682
54,1.0800,0.867209,0,squat_bounce,0.106881,-0.001273,-0.008187,0.015045,0.005563
55,1.1000,1.118452,0,squat_bounce,0.107189,-0.001115,-0.009172,0.014753,0.006112
56,1.1200,1.369696,0,squat_bounce,0.107482,-0.000886,-0.009836,0.014310,0.013260
57,1.1400,1.620939,0,squat_bounce,0.107756,-0.000638,-0.010443,0.012689,0.002347
58,1.1600,1.872183,0,squat_bounce,0.107993,-0.000615,-0.010554,0.010956,0.002886
59,1.1800,2.123427,0,squat_bounce,0.108176,-0.000538,-0.010280,0.007766,-0.001412
60,1.2000,2.374670,0,squat_bounce,0.108280,-0.000675,-0.009928,0.004199,-0.003614
61,1.2200,2.625914,0,squat_bounce,0.108331,-0.000763,-0.009244,0.002183,-0.001375
62,1.2400,2.877158,0,squat_bounce,0.108355,-0.000656,-0.008543,0.000324,0.008368
63,1.2600,3.128401,0,squat_bounce,0.108329,-0.000447,-0.007726,-0.002293,0.007056
64,1.2800,-2.903540,0,squat_bounce,0.108233,-0.000356,-0.006315,-0.006169,0.003628
65,1.3000,-2.652297,0,squat_bounce,0.108059,-0.000329,-0.004667,-0.009975,-0.000415
66,1.3200,-2.401053,0,squat_bounce,0.107798,-0.000348,-0.003316,-0.014331,-0.004692
67,1.3400,-2.149809,0,squat_bounce,0.107471,-0.000435,-0.001920,-0.017299,-0.003271
68,1.3600,-1.898566,0,squat_bounce,0.107103,-0.000460,-0.000610,-0.018653,-0.001048
69,1.3800,-1.647322,0,squat_bounce,0.106747,-0.000416,0.000349,-0.018154,-0.001652
70,1.4000,-1.396079,0,squat_bounce,0.106385,-0.000639,0.000922,-0.017625,-0.019661
71,1.4200,-1.144835,0,squat_bounce,0.106125,-0.000707,0.000865,-0.010898,0.004367
72,1.4400,-0.893591,0,squat_bounce,0.105960,-0.000616,0.000212,-0.007178,-0.001026
73,1.4600,-0.642348,0,squat_bounce,0.105864,-0.000830,-0.000529,-0.002377,-0.008974
74,1.4800,-0.391104,0,squat_bounce,0.105870,-0.001012,-0.001282,0.000999,-0.011435
75,1.5000,-0.139860,0,squat_bounce,0.105937,-0.001287,-0.002393,0.005455,-0.010694
76,1.5200,0.111383,0,squat_bounce,0.106091,-0.001484,-0.004004,0.008298,-0.009111
77,1.5400,0.362627,0,squat_bounce,0.106286,-0.001677,-0.005563,0.011835,0.000529
78,1.5600,0.613871,0,squat_bounce,0.106565,-0.001436,-0.007050,0.014711,0.017466
79,1.5800,0.865114,0,squat_bounce,0.106858,-0.001176,-0.008093,0.014680,0.009441
